时间	转发数	评论数	点赞数	微博内容	字数	转发	转发内容	
03-24	4	12	30	【上班天气】【天气转凉，注意保暖】预计早晨6-9时，全市阴天，有小雨；气温14-16℃；吹清劲的东北风，阵风5-6级；部分地区有轻雾，雨时能见度较差，出行请注意安全；天气转凉，请及时添加衣服；阴天有雨，出门带伞。 深圳市气象台2019年03月24日05时52分发布。网页链接 	260	否	
03-24	2	8	21	【今日天气】我市阴天，有小雨；气温14-20℃；东北风3级，沿海和高地最大阵风6-7级；相对湿度80%-95% 深圳市气象台2019年03月24日05时06分发布。网页链接 	153	否	
03-23	3	60	56	昨天的此时还一片黄（我市中西部气温普遍在25℃左右，东部21-23℃左右）；然鹅，此时此刻，已经一片蓝（全市普遍在14-15℃左右），同比昨天这个时候可谓是一个在夏，一个在春。。。预计今天夜间依然有降水回波不断影响我市，带来小雨，部分时间风力较大，建议大家关好窗子，收回阳台的衣物，注意 ...全文	314	否	
03-23	6	124	115	昨天你可以短袖，今天你再短袖，只能证明你很强壮！夜间飘雨，北风那个吹啊，凉飕飕的真带劲！ 	111	否	
03-23	11	111	76	入夜了 气温飕飕飕的往下降 目前全市气温普遍在15-16℃ 就问你们冷！不！冷！受冷空气影响 目前盐田、宝安、大鹏和福田的风力都有所加大  最大阵风达到6-7级 大部分地区依然伴有淅淅沥沥的小雨 在外边游荡的小伙伴们 彦祖喊你回家暖暖啦~ 	226	否	
03-23	2	2	29	3·23  "太阳、地球与天气" 听听世界气象组织秘书长怎么说	0	是	"太阳、地球与天气"是今年3月23日世界气象日 的主题。它突出了距离地球近1.5 亿公里的太阳 在提供能量方面的作用。作为太阳系的核心，它为地球上所有生命提供动力，驱动天气、洋流和水文循环，使我们的星球保持温暖，让万物茁壮成长。#世界气象组织# 秘书长佩特里·塔拉斯在致辞中指出，过去 30 年开展的卫星测量显示：太阳的能量输出没有增加，最近地球上观测到的变暖不能归因于太阳活动的变化。正造成冰雪融化和海洋升温的温度上升是由大气中的长寿命温室气体驱动的。2017年二氧化碳浓度达到了百万分之405.5，并在继续上升。结果，自1990 年以来，长寿命温室气体的总辐射强迫这一气候增温效应增加了 41％。在过去的十年中，二氧化碳在增加的辐射强迫中约占 82％。如果延续目前温室气体浓度的趋势，到本世纪末，我们可能会看到温度上升 3°C 至 5°C。这远高于#联合国气候变化框架公约##巴黎协定# 的目标，即将全球平均温度的升高控制在 2°C 以下，并尽可能接近 1.5°C。有记录以来 20 个最热的年份都出现在过去 22 年中，而排名前四的年份则出现在过去四年中。看这里，了解更多： 联合国的微博视频
03-23	0	9	17	发布了头条文章：《《民心桥》世界气象日走进深圳市气象局》  《民心桥》世界气象日走进深圳市气象局 	77	否	
03-23	6	60	51	这些浅蓝色的几乎分不清是噪声还是回波的回波会在今晚给深圳带来一阵一阵的毛毛雨，晚上出门最好带上伞，不带伞头发会湿 	112	否	
03-23	1	4	18	回复@馥郁芬芳就咕咕咕咕咕一:过两天会私信收集联系方式，快递给大家//@馥郁芬芳就咕咕咕咕咕一:中奖了，彦祖请问咋领奖呢？@深圳天气	0	是	【323气象日转发抽奖活动】前一段时间气象局推出了“预警铃”🔔服务（还没订制的家长朋友们，定制方法见配图）。学生和家长在手机上定制预警铃，可以第一时间获取预警信息和停课或推迟上课等消息。如果觉得预警铃使用起来有什么可以改进的地方或者对预警铃产品有什么想法，请转发本条微博，并提出您的意见和建议。气象日当天，3月23日下午3点23分将从转发中抽取5名幸运粉丝，奖品是一把雨伞加上一本《深圳最美的天空》画册。
03-23	0	5	12	【下班天气】预计17-20时，全市阴天，有小雨；气温16-18℃；相对湿度90%以上；东北风2-3级；受降雨影响，全市大部能见度5-10公里。未来一个小时南山和宝安等西部地区雨点较密，需要打伞，其余地区或许不用打伞但仍需带伞。降雨导致路面湿滑，注意交通安全 深圳市气象台2019年03网页链接 	275	否	
03-23	3	20	33	【深圳市天气提示】未来两天清凉有雨：24-25日阴天为主，间中有阵雨，天气清凉，24日16-20℃；26-28日转可见阳光，早晚有轻雾天气，气温逐日回升，最高气温可回至25℃以上。请注意及时添加衣物，并关注雨雾天气对出行的影响。深圳市气象台2019年3月23日16时发布网页链接 	260	否	
03-23	4	15	17	恭喜@馥郁芬芳就咕咕咕咕咕一 等5名用户获得【雨伞加画册】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台	0	是	【323气象日转发抽奖活动】前一段时间气象局推出了“预警铃”🔔服务（还没订制的家长朋友们，定制方法见配图）。学生和家长在手机上定制预警铃，可以第一时间获取预警信息和停课或推迟上课等消息。如果觉得预警铃使用起来有什么可以改进的地方或者对预警铃产品有什么想法，请转发本条微博，并提出您的意见和建议。气象日当天，3月23日下午3点23分将从转发中抽取5名幸运粉丝，奖品是一把雨伞加上一本《深圳最美的天空》画册。
03-23	5	16	41	今天云层比较低，几个山顶的自动站都在云里，记录到的能见度都只有几十米。而350米的梯度塔上看到的景象是这样的 查看图片	0	是	云城@深圳天气 JolinTsai地才的秒拍视频 
03-23	0	31	30	虽然今天一直在飘小雨，但是还是有需要打伞的小雨和不需要打伞的小雨的区别。比如现在这片区域的朋友们可能就需要打伞了。 	114	否	
03-23	2	23	14	【深圳市大雾提示】受雨雾天气影响，目前光明、宝安、龙岗和盐田区能见度较低，在2公里左右，预计今天下午至夜间雨雾天气持续，请注意低能见度对出行安全的影响。深圳市气象台2019年03月23日14时20分发布网页链接 	207	否	
03-23	7	46	75	仙湖，深圳花展。现在只是人人人，如果今天不下这点下雨的话可能就是人人人人人人人人人人人人人人人了	0	是	雨中漫步，仙湖植物园。花花花，人人人。@深圳天气 @深圳市公园管理中心 深圳·深圳仙湖植物园 
03-23	9	85	175	今天的气温非常适合睡懒觉，不多说了，准备午觉前来张帅气的自拍。 	72	否	
03-23	2	59	45	上午基本全市都在飘小雨，不过雨太小了，有的地方记录不到。这种量级的降水在最常用的雷达显示界面上是几乎什么都看不出来的。 	118	否	
03-23	1	8	120	323世界气象日科普活动 深圳天气的微博直播 . 	43	否	
03-23	1	96	46	白花花一片就是冷空气的云系，今天一天都会是阴天，偶尔飘一点小雨 	62	否	
03-23	2	12	102	【直播】先锋898《民心桥》世界气象日访谈节目——气象让城市更安全更美好 深圳天气的微博直播 . 	91	否	
03-23	0	12	17	#世界气象日# 今天十点哦~局长做客《民心桥》与市民互动交流，届时将有微博直播	0	是	明天是世界气象日，今年气象日的主题是“太阳、地球与天气”，深圳市气象局局长王延青做客先锋898《民心桥》，将围绕“太阳如何影响气候和天气，气象如何服务城市？”与市民进行互动交流。现场还将启动全新升级之后的智慧气象科普展厅，欢迎小伙伴通过微博或壹深圳APP收看直播 
03-23	3	128	41	评论里说感觉不到降温的朋友们，打开窗或者去阳台就能感受到了	0	是	降雨伴随着降温终于来了，你的感觉如何？可能你觉着并不怎么凉，别急！现在的气温还不是最低，受冷空气和降雨的影响，我市今天阴凉有小雨，日温差小，最低气温在16-17℃。还是需要外套帮忙的。网页链接 
03-23	9	91	53	降雨伴随着降温终于来了，你的感觉如何？可能你觉着并不怎么凉，别急！现在的气温还不是最低，受冷空气和降雨的影响，我市今天阴凉有小雨，日温差小，最低气温在16-17℃。还是需要外套帮忙的。网页链接 	197	否	
03-23	7	37	38	【上班天气】今天天气阴凉有雨：预计早晨6-9时，全市阴天，有小雨；气温18-21℃；相对湿度85%-100%；吹和缓到清劲的东北风，阵风5-6级；全市大部能见度5-15公里。天气转凉，请及时添加衣服。阴天有雨，出门带伞。 深圳市气象台2019年03月23日05时38分发布。网页链接 	256	否	
03-23	6	16	22	【今日天气】我市阴天有小雨，局部中雨；气温17-21℃；东北风2-3级，阵风7级；相对湿度75%-95% 深圳市气象台2019年03月23日05时25分发布。网页链接 	147	否	
03-23	5	142	49	因为要凉了！	0	是	外面起风了@深圳天气 
03-22	19	209	106	深圳已被雨水包围。 	18	否	
03-22	13	182	92	目前冷空气已经到达我省北部清远市和韶关市，今晚随着冷空气和降雨云带的南下影响，夜间到明晨我市气温将有明显下降。明早最低气温预计17度左右，北部及山区还要低1-2度。一个晚上将让你有穿越的感觉 	191	否	
03-22	3	59	37	明天是世界气象日，今年气象日的主题是“太阳、地球与天气”，深圳市气象局局长王延青做客先锋898《民心桥》，将围绕“太阳如何影响气候和天气，气象如何服务城市？”与市民进行互动交流。现场还将启动全新升级之后的智慧气象科普展厅，欢迎小伙伴通过微博或壹深圳APP收看直播 	262	否	
03-22	18	144	51	【周末有雨明显转凉】预计受冷空气影响，23日我市有小雨局部中雨，白天气温在17-20℃之间徘徊，天气明显转凉；24日有阵雨，天气清凉；25日起转多云，可见阳光，气温逐日回升。深圳市气象台2019年03月22日15时55分发布 	201	否	
03-22	8	123	72	隔壁老惠也开始了，而我们只能在边缘疯狂试探 	48	否	
03-22	7	115	87	在粤北已经有部分地区降到10℃以下，而沿海的我们。。。 	52	否	
03-22	4	65	30	大家今天都带伞了吗？🌂🌂🌂	0	是	【323气象日转发抽奖活动】前一段时间气象局推出了“预警铃”🔔服务（还没订制的家长朋友们，定制方法见配图）。学生和家长在手机上定制预警铃，可以第一时间获取预警信息和停课或推迟上课等消息。如果觉得预警铃使用起来有什么可以改进的地方或者对预警铃产品有什么想法，请转发本条微博，并提出您的意见和建议。气象日当天，3月23日下午3点23分将从转发中抽取5名幸运粉丝，奖品是一把雨伞加上一本《深圳最美的天空》画册。
03-22	5	167	59	借点雨给我们啊	0	是	天气话你知 市区被一片番茄蛋覆盖，预计会有狂风骤雨，大家尽量在安全的室内暂避开。 
03-22	4	74	38	冷空气正在路上，粤北地区（图中蓝色区域）的降温还是很明显的，可怜了我们还在火热之中 	88	否	
03-22	6	99	46	全市气温普遍在26度以上，部分地区有漏些阳光，大家好好珍惜 	68	否	
03-22	8	161	81	傍晚开始天气趋于不稳定，我市可能会有雷雨；请及时关注我们发的最新消息 	75	否	
03-22	0	154	38	今天中午以前，我市会有局部阵雨，看看哪位小可爱被局了？ 	54	否	
03-22	1	24	11	【深圳市取消分区大雾预警】能见度将逐渐好转，深圳市气象台于2019年03月22日10时00分在盐田区和大鹏新区取消大雾黄色预警。网页链接 	134	否	
03-22	7	57	35	回复@朱钰紫璇:广西是我们天气的上游地区啊，很多天气系统都是从广西移过来的//@朱钰紫璇:你还挺关注广西的	0	是	#冰雹# 桂林市气象台发布冰雹橙色预警，希望老师和同学们要保护好头部，不要和冰雹正面冲突哦～要保护好自己的安全呀～ 桂林 · 临桂区 桂师专大学生记者团的微博视频 
03-22	1	39	14	【深圳市取消火险预警】干燥天气已经缓解，深圳市气象台于2019年03月22日09时00分在全市陆地取消森林火险预警。网页链接 	122	否	
03-22	61	98	61	昨天的桂林，你以为这是台风来了？不，这是强对流！超厉害的强对流一点也不比台风弱！大风+短时强降水+雷暴是强对流标配，冰雹，甚至龙卷或下击暴流是高端配置。春季是强对流的高发季，切记，强对流来的时候不要和它正面冲突，猥琐发育	0	是	#冰雹# 桂林市气象台发布冰雹橙色预警，希望老师和同学们要保护好头部，不要和冰雹正面冲突哦～要保护好自己的安全呀～ 桂林 · 临桂区 桂师专大学生记者团的微博视频 
